 1 | 0.00 | 0.00 | 0 | 0
 9 | 0.00 | 18.00 | 30 | 9
 17 | 1.00 | 67.00 | 97 | 48
 25 | 2.00 | 146.00 | 184 | 120
 33 | 4.00 | 240.00 | 289 | 195
 41 | 7.00 | 386.00 | 440 | 341
 49 | 9.00 | 563.00 | 677 | 500
 57 | 12.00 | 785.00 | 877 | 666
 65 | 15.00 | 977.00 | 1043 | 919
 73 | 18.00 | 1208.00 | 1372 | 1050
 81 | 23.00 | 1538.00 | 1697 | 1452
 89 | 28.00 | 1954.00 | 2212 | 1842
 97 | 32.00 | 2230.00 | 2430 | 2040
 105 | 49.00 | 2594.00 | 2895 | 2257
 113 | 34.00 | 3067.00 | 3465 | 2661
 121 | 43.00 | 3440.00 | 3787 | 3068
 129 | 51.00 | 3893.00 | 4228 | 3574
 137 | 66.00 | 4703.00 | 4973 | 4368
 145 | 65.00 | 5106.00 | 5271 | 4863
 153 | 58.00 | 5620.00 | 6167 | 4909
 161 | 85.00 | 6185.00 | 6704 | 5885
 169 | 88.00 | 6646.00 | 6958 | 6274
 177 | 93.00 | 7372.00 | 7956 | 6731
 185 | 99.00 | 8366.00 | 8728 | 8004
 193 | 108.00 | 8833.00 | 9189 | 7910
 201 | 102.00 | 9702.00 | 10537 | 9001
 209 | 101.00 | 10595.00 | 11184 | 9629
 217 | 105.00 | 11068.00 | 11724 | 10379
 225 | 114.00 | 12225.00 | 12929 | 11079
 233 | 121.00 | 12996.00 | 14041 | 11795
 241 | 137.00 | 13673.00 | 14651 | 12745
 249 | 115.00 | 14688.00 | 15686 | 13597
 257 | 130.00 | 15773.00 | 16876 | 14988
 265 | 113.00 | 17110.00 | 17912 | 15871
 273 | 146.00 | 17985.00 | 18589 | 17484
 281 | 128.00 | 19010.00 | 20254 | 18060
 289 | 127.00 | 20304.00 | 21869 | 18993
 297 | 149.00 | 21207.00 | 22417 | 20506
 305 | 191.00 | 22602.00 | 23175 | 21485
 313 | 183.00 | 23769.00 | 24764 | 22223
 321 | 190.00 | 25220.00 | 28463 | 23169
 329 | 207.00 | 25846.00 | 27023 | 24534
 337 | 266.00 | 26985.00 | 28227 | 26413
 345 | 327.00 | 28148.00 | 29460 | 26587
 353 | 327.00 | 29884.00 | 32690 | 29088
 361 | 316.00 | 31528.00 | 32719 | 29518
 369 | 270.00 | 32702.00 | 34260 | 30590
 377 | 231.00 | 33468.00 | 35037 | 32029
 385 | 212.00 | 35832.00 | 37803 | 32029
 393 | 207.00 | 37480.00 | 38376 | 35879
 401 | 218.00 | 37823.00 | 40308 | 36043
 409 | 240.00 | 39543.00 | 42874 | 36613
 417 | 249.00 | 42392.00 | 45067 | 40145
 425 | 244.00 | 42677.00 | 44675 | 40891
 433 | 255.00 | 44208.00 | 46825 | 40585
 441 | 277.00 | 45989.00 | 47329 | 44791
 449 | 285.00 | 48035.00 | 49625 | 46910
 457 | 283.00 | 50837.00 | 52059 | 49378
 465 | 329.00 | 52729.00 | 54995 | 49194
 473 | 337.00 | 53485.00 | 55417 | 51135
 481 | 319.00 | 55756.00 | 58321 | 53457
 489 | 355.00 | 57072.00 | 60477 | 54923
 497 | 349.00 | 60128.00 | 62320 | 58055
 505 | 347.00 | 61388.00 | 64096 | 59900
 513 | 389.00 | 62892.00 | 67393 | 60303
 521 | 484.00 | 65432.00 | 67614 | 62025
 529 | 624.00 | 68012.00 | 70513 | 65367
 537 | 431.00 | 69332.00 | 71509 | 65225
 545 | 616.00 | 69659.00 | 73036 | 67397
 553 | 451.00 | 73423.00 | 75605 | 70336
 561 | 459.00 | 74599.00 | 77072 | 69796
 569 | 442.00 | 77132.00 | 81147 | 74894
 577 | 480.00 | 79492.00 | 81409 | 75781
 585 | 472.00 | 81853.00 | 86039 | 78710
 593 | 496.00 | 84749.00 | 87447 | 81811
 601 | 496.00 | 86651.00 | 91022 | 84958
 609 | 511.00 | 89903.00 | 93063 | 86811
 617 | 522.00 | 90079.00 | 95949 | 85897
 625 | 538.00 | 93586.00 | 97771 | 88693
 633 | 550.00 | 95659.00 | 99992 | 93129
 641 | 563.00 | 99102.00 | 103970 | 96566
 649 | 575.00 | 100202.00 | 103703 | 95608
 657 | 594.00 | 102606.00 | 106962 | 99111
 665 | 602.00 | 105605.00 | 107633 | 102760
 673 | 621.00 | 107045.00 | 112327 | 102298
 681 | 630.00 | 110496.00 | 115094 | 105974
 689 | 649.00 | 111956.00 | 119723 | 103880
 697 | 657.00 | 116392.00 | 120059 | 112691
 705 | 677.00 | 121177.00 | 126449 | 116523
 713 | 692.00 | 122206.00 | 128071 | 117884
 721 | 706.00 | 123821.00 | 129347 | 119762
 729 | 706.00 | 128094.00 | 131372 | 122949
 737 | 910.00 | 131598.00 | 134247 | 124851
 745 | 748.00 | 132381.00 | 140788 | 128472
 753 | 772.00 | 138234.00 | 143669 | 131472
 761 | 790.00 | 139502.00 | 143916 | 135230
 769 | 838.00 | 143452.00 | 147657 | 139489
 777 | 813.00 | 145748.00 | 150048 | 139911
 785 | 849.00 | 147372.00 | 151461 | 143366
 793 | 854.00 | 149207.00 | 154632 | 140054
 801 | 858.00 | 154607.00 | 156885 | 151279
 809 | 882.00 | 156022.00 | 165188 | 151239
 817 | 898.00 | 159593.00 | 165019 | 155598
 825 | 894.00 | 161891.00 | 167088 | 157080
 833 | 930.00 | 166084.00 | 174929 | 157589
 841 | 964.00 | 171989.00 | 178365 | 166895
 849 | 969.00 | 173276.00 | 179385 | 165948
 857 | 1111.00 | 178044.00 | 184959 | 172154
 865 | 1018.00 | 179365.00 | 186200 | 171212
 873 | 1266.00 | 182599.00 | 189017 | 175646
 881 | 1029.00 | 185038.00 | 192795 | 178346
 889 | 1107.00 | 190767.00 | 195017 | 186005
 897 | 1136.00 | 193250.00 | 203059 | 185322
 905 | 1425.00 | 198250.00 | 205627 | 189290
 913 | 1294.00 | 198114.00 | 201517 | 193966
 921 | 1126.00 | 204188.00 | 213095 | 191308
 929 | 1161.00 | 206794.00 | 216705 | 200493
 937 | 1198.00 | 210437.00 | 223485 | 204529
 945 | 1191.00 | 213763.00 | 221444 | 208150
 953 | 1398.00 | 218634.00 | 226562 | 213760
 961 | 1396.00 | 222839.00 | 229049 | 215611
 969 | 1231.00 | 221353.00 | 231203 | 211723
 977 | 1309.00 | 228538.00 | 232482 | 223649
 985 | 1329.00 | 233857.00 | 246270 | 224928
 993 | 1337.00 | 236468.00 | 245528 | 230711
 1001 | 1337.00 | 239709.00 | 245191 | 228569
 1009 | 1348.00 | 245561.00 | 255551 | 236929
 1017 | 1380.00 | 249095.00 | 256692 | 235841
 1025 | 1411.00 | 256045.00 | 264459 | 250384
 1033 | 1510.00 | 252457.00 | 263108 | 241146
 1041 | 1435.00 | 254854.00 | 264061 | 244338
 1049 | 1555.00 | 264239.00 | 271935 | 257539
 1057 | 1472.00 | 268224.00 | 281280 | 252722
 1065 | 2081.00 | 272931.00 | 281943 | 265850
 1073 | 1863.00 | 272806.00 | 286637 | 254806
 1081 | 1588.00 | 284412.00 | 291459 | 276961
 1089 | 1566.00 | 285090.00 | 294206 | 273250
 1097 | 1593.00 | 287540.00 | 302954 | 282310
 1105 | 1606.00 | 291575.00 | 298411 | 285143
 1113 | 1622.00 | 296423.00 | 305936 | 291229
 1121 | 1864.00 | 300279.00 | 308412 | 291489
 1129 | 1687.00 | 307726.00 | 317227 | 290658
 1137 | 1713.00 | 311521.00 | 320103 | 298684
 1145 | 1716.00 | 311384.00 | 318046 | 305510
 1153 | 1768.00 | 320853.00 | 330408 | 312023
 1161 | 2019.00 | 322615.00 | 327952 | 311299
 1169 | 1804.00 | 328174.00 | 339835 | 320656
 1177 | 1862.00 | 333733.00 | 344279 | 320970
 1185 | 1856.00 | 337575.00 | 348911 | 331156
